key,value,expiration
laravel_cache_holidays-2025,N;,1750278545
laravel_cache_holidays-KE-2025,N;,1750278819
laravel_cache_holidays-ke-2025,N;,1750279110
laravel_cache_a75f3f172bfb296f2e10cbfc6dfc1883:timer,i:1750193296;,1750193296
laravel_cache_a75f3f172bfb296f2e10cbfc6dfc1883,i:1;,1750193296
laravel_cache_830b3b63aeb7c393f1a75d0894c14921:timer,i:1750361190;,1750361190
laravel_cache_830b3b63aeb7c393f1a75d0894c14921,i:2;,1750361190
laravel_cache_356a192b7913b04c54574d18c28d46e6395428ab:timer,i:1750419585;,1750419585
laravel_cache_356a192b7913b04c54574d18c28d46e6395428ab,i:1;,1750419585
laravel_cache_f1f70ec40aaa556905d4a030501c0ba4:timer,i:1750537384;,1750537384
laravel_cache_f1f70ec40aaa556905d4a030501c0ba4,i:4;,1750537384
laravel_cache_7c2150d7106073168321f39ec452420d:timer,i:1750753950;,1750753950
laravel_cache_7c2150d7106073168321f39ec452420d,i:1;,1750753950
