id,migration,batch
1,0001_01_01_000000_create_users_table,1
2,0001_01_01_000001_create_cache_table,1
3,0001_01_01_000002_create_jobs_table,1
4,2025_05_20_090000_create_schools_table,1
5,2025_05_20_091000_create_students_table,1
6,2025_05_20_092000_create_payments_table,1
7,2025_05_20_093000_create_invoices_table,1
8,2025_05_20_094000_create_fee_structures_table,1
9,2025_05_20_095000_create_scholarships_table,1
10,2025_05_21_072531_create_personal_access_tokens_table,1
11,2025_05_21_135224_add_role_to_users_table,1
12,2025_05_22_102206_create_login_histories_table,1
13,2025_05_22_123836_drop_role_from_users_table,1
14,2025_05_22_124410_create_permission_tables,1
15,2025_05_27_063154_add_school_id_to_users_table,1
16,2025_06_03_074310_add_curriculum_fields_to_students_table,1
17,2025_06_03_074413_create_grades_table,1
18,2025_06_03_074414_create_curriculum_levels_table,1
19,2025_06_03_113643_add_curriculum_level_id_to_schools_table,1
20,2025_06_03_114314_add_curriculum_grade_id_to_students_table,1
21,2025_06_03_115128_create_subjects_table,1
22,2025_06_03_115421_create_learning_outcomes_table,1
23,2025_06_03_115554_create_competencies_table,1
24,2025_06_03_120124_create_subject_competency_table,1
25,2025_06_07_144934_add_contact_email_and_phone_to_schools_table,1
26,2025_06_07_152704_remove_contact_from_schools_table,1
27,2025_06_09_084804_add_active_column_to_users_table,1
28,create_payment_audits_table,1
29,2025_06_09_111210_add_phone_to_users_table,2
30,2025_06_09_111345_add_email_verification_token_to_users_table,3
31,2025_06_09_144842_add_active_column_to_schools_table,4
32,2025_06_09_154724_add_deleted_at_to_schools_table,5
33,2025_06_09_155949_add_deleted_at_to_users_table,6
34,2025_06_09_163354_create_activity_log_table,7
35,2025_06_09_163355_add_event_column_to_activity_log_table,7
36,2025_06_09_163356_add_batch_uuid_column_to_activity_log_table,7
37,2025_06_13_112655_add_onboarding_fields_to_schools_table,8
38,2025_06_13_132559_add_is_setup_complete_to_schools_table,9
39,2025_06_17_054918_create_school_structures_table,10
40,2025_06_17_081533_remove_curriculum_level_id_from_schools_table,11
41,2025_06_17_083844_add_curriculum_key_to_schools_table,12
42,2025_06_18_190929_create_holidays_table,13
